Id,SalePrice
1461,127950.55665974908
1462,167403.2835565841
1463,176919.2838032686
1464,203622.716664315
1465,203456.79073795408
1466,198801.63264062695
1467,183432.3432231163
1468,190065.63366619506
1469,211600.73339797714
1470,99210.19674137956
1471,191302.5003663958
1472,116383.1039563681
1473,92782.88806002421
1474,140942.4412096748
1475,140152.2117807488
1476,333330.70515898016
1477,259045.19807168396
1478,283204.96258910897
1479,278773.9300217608
1480,358230.8021966933
1481,283786.2978060728
1482,226837.2586540314
1483,200569.2438485246
1484,187459.14211075223
1485,211219.07692835826
1486,231137.86461799897
1487,288818.51080174267
1488,261748.9769281383
1489,210706.13129049295
1490,213119.78353585105
1491,234754.1315008107
1492,100663.05066328583
1493,198535.157846594
1494,281300.8580620197
1495,258683.41705344353
1496,208450.09304631207
1497,189918.9798878343
1498,168471.49730523513
1499,167958.3639811661
1500,149167.6825684363
1501,167238.9142764074
1502,161576.1622444015
1503,275973.117692648
1504,254832.86010715037
1505,217264.38805983675
1506,194645.50812466248
1507,242956.58055950806
1508,210475.2883299439
1509,171643.12741801224
1510,136234.58952239176
1511,135242.77985308386
1512,155424.55932187557
1513,185864.76136777533
1514,141011.50835122634
1515,209046.47716743202
1516,167216.44007745135
1517,167714.2639391826
1518,130506.98614878798
1519,224310.28527686707
1520,125899.55508860454
1521,132120.6602970109
1522,172435.36911948453
1523,99572.09072921381
1524,128394.77379522404
1525,113118.28215415288
1526,90635.55630665354
1527,85362.67816146875
1528,151192.8452482766
1529,132188.83666970694
1530,196166.3528080582
1531,114923.03413140221
1532,99398.8805294385
1533,140563.7014954373
1534,147875.45617129866
1535,164859.80966962263
1536,105686.2360146372
1537,18649.640406976003
1538,196613.97107908982
1539,228072.37740945283
1540,131342.41049249732
1541,161932.1286655773
1542,152728.8597125758
1543,213913.62170496522
1544,65989.75216324186
1545,139886.7759734343
1546,131791.66846209273
1547,132188.13217489
1548,152969.12369560104
1549,116599.86471041384
1550,110241.70036997195
1551,123259.57844244831
1552,119000.66452132305
1553,161975.4022830163
1554,135132.25769216544
1555,173257.36354007688
1556,92151.5377420322
1557,71112.17516927284
1558,107635.9298409095
1559,76925.17217519421
1560,111370.05913479571
1561,122765.98774758136
1562,124523.65023815013
1563,117543.43984689075
1564,130762.65852996333
1565,133971.51236375727
1566,241528.85355574478
1567,58414.493082159825
1568,207078.7109017456
1569,96679.2379228717
1570,153016.87559221286
1571,131525.44644410902
1572,133421.2959757795
1573,261959.49233600794
1574,125889.47650947476
1575,224463.4358900496
1576,223428.69324772988
1577,221305.68064961745
1578,145964.3546333025
1579,132674.20882549416
1580,230398.86800853608
1581,150832.50746987775
1582,116887.10004814697
1583,280756.8990150402
1584,243584.445734015
1585,152087.10903400235
1586,63718.39095572851
1587,117270.72822246244
1588,141706.00302648047
1589,99123.63298626183
1590,138252.75778076364
1591,84608.85277760432
1592,124543.44301671493
1593,120756.68116841254
1594,160020.88812588298
1595,124586.50534122763
1596,215582.58542582605
1597,178378.97995967657
1598,226208.10316933357
1599,200003.27999761948
1600,195134.04304632003
1601,28612.871464076314
1602,126820.8048864223
1603,55262.94855224789
1604,231870.8097103913
1605,265436.0674640511
1606,162250.30045634136
1607,186558.0786658212
1608,218808.78211035486
1609,222723.47345407557
1610,173573.9744002069
1611,164675.7750728382
1612,180576.06316332732
1613,173647.13011340323
1614,107947.9763769311
1615,72950.24036952089
1616,60875.293768608055
1617,70679.22368651243
1618,124931.00128477979
1619,146872.77806810904
1620,192930.96634034862
1621,149023.60213551638
1622,130335.14427377554
1623,252268.1710668464
1624,208346.60457394362
1625,143481.2923649467
1626,165979.52466494226
1627,199141.95862105556
1628,283641.57808466617
1629,213416.09719085525
1630,316001.200115906
1631,221405.56372222502
1632,240190.38184041306
