"location","user","time","lat","long"
"f191491288231627e6208700500a57d5",23079,2009-12-31 23:53:58,50.901525,-114.119733
"120b74acd7a611ddaa97003048c10834",2991,2009-01-01 02:47:24,36.897819,-76.125362
"b8a5a361be311deac8d003048c0801e",2303,2009-03-28 22:54:43,35.060047,-78.969753
"f84cb20a43e11dd8715003048c10834",36782,2008-10-27 16:44:36,34.088699,-84.466925
"f84cb20a43e11dd8715003048c10834",36782,2008-10-27 16:44:36,34.088699,-84.466925
"2588b75793e04bc39bf05dae62f41ba3",2819,2010-01-05 04:04:48,35.069604,136.972018
"2588b75793e04bc39bf05dae62f41ba3",2819,2010-01-04 22:08:54,35.069604,136.972018
"2588b75793e04bc39bf05dae62f41ba3",10612,2010-05-05 05:12:57,35.069604,136.972018
"42d294b2ba5011ddba49003048c0801e",33608,2008-11-24 18:52:09,29.571672,-98.478227
"42d294b2ba5011ddba49003048c0801e",33608,2008-11-24 18:52:09,29.571672,-98.478227
"d88847192b2e02fcd051b38c62c3727f",1960,2010-02-25 23:00:18,49.282247,-123.132679
"51deb92f1e311dd8588003048c10834",3885,2009-03-05 12:01:03,51.517349,-0.120743
"51deb92f1e311dd8588003048c10834",16131,2009-03-05 12:19:42,51.517349,-0.120743
"51deb92f1e311dd8588003048c10834",42809,2009-03-16 18:51:14,51.517349,-0.120743
"51deb92f1e311dd8588003048c10834",50348,2009-02-03 12:14:17,51.517349,-0.120743
"d116a9aaa22411ddbd94936d2172d51f",21,2009-06-21 15:14:11,55.666667,-4.066667
"d116a9aaa22411ddbd94936d2172d51f",21,2009-06-21 15:08:01,55.666667,-4.066667
"d116a9aaa22411ddbd94936d2172d51f",21,2009-06-21 14:01:43,55.666667,-4.066667
"d116a9aaa22411ddbd94936d2172d51f",21,2009-06-21 13:58:51,55.666667,-4.066667
"d116a9aaa22411ddbd94936d2172d51f",21,2009-06-20 22:54:59,55.666667,-4.066667
"d116a9aaa22411ddbd94936d2172d51f",21,2009-06-20 20:44:22,55.666667,-4.066667
"d116a9aaa22411ddbd94936d2172d51f",21,2009-06-20 20:40:57,55.666667,-4.066667
"d116a9aaa22411ddbd94936d2172d51f",21,2009-06-20 19:22:28,55.666667,-4.066667
"d116a9aaa22411ddbd94936d2172d51f",21,2009-06-20 19:18:28,55.666667,-4.066667
"6827d214c9841fdec3bd3a4b55a9de2d",26359,2009-10-28 20:20:59,45.459088,9.177272
"61faff5c9dc911dea3e8003048c10834",1868,2009-09-10 06:18:35,39.715163,-91.382055
"79aead34a14d11ddb28b003048c0801e",25,2008-11-18 00:47:05,39.909526,-105.110525
"79aead34a14d11ddb28b003048c0801e",25,2008-10-24 01:29:51,39.909526,-105.110525
"79aead34a14d11ddb28b003048c0801e",25,2008-10-23 22:56:41,39.909526,-105.110525
"303294bb97f33071f755c72b930fc49d",27527,2010-04-10 12:52:58,59.317875,18.066714
"303294bb97f33071f755c72b930fc49d",27527,2010-04-10 12:51:41,59.317875,18.066714
"17b129c283a111de87cd003048c10834",28333,2009-08-07 23:24:44,42.4337,14.269549
"7d66d5e0cd3611ddb169003048c0801e",45177,2008-12-18 20:03:37,51.567694,0.005193
"7d66d5e0cd3611ddb169003048c0801e",45177,2008-12-18 20:03:04,51.567694,0.005193
"213172ac26b511deae7c003048c0801e",35802,2009-04-11 17:30:57,53.813202,-3.053558
"42a5380678ea11de825e003048c10834",15371,2009-07-25 08:12:02,35.680199,139.43122
"43b7e88d425fc04797c420f495a15e58",7735,2009-10-17 16:01:51,39.239697,-77.26536
"ae857b6e4bb611de8b59003048c10834",9118,2009-06-06 17:30:51,39.600402,-75.947904
"f7ca5c5f4f9df3e7d5e42abea2ff034bdb50ee9c",5774,2008-08-07 16:53:15,42.350376,-71.07959
"f7ca5c5f4f9df3e7d5e42abea2ff034bdb50ee9c",8919,2008-11-29 23:12:59,42.350376,-71.07959
"f7ca5c5f4f9df3e7d5e42abea2ff034bdb50ee9c",8919,2008-11-29 21:32:25,42.350376,-71.07959
"f7ca5c5f4f9df3e7d5e42abea2ff034bdb50ee9c",8919,2008-11-29 21:32:24,42.350376,-71.07959
"f7ca5c5f4f9df3e7d5e42abea2ff034bdb50ee9c",12387,2009-06-21 16:37:33,42.350376,-71.07959
"f7ca5c5f4f9df3e7d5e42abea2ff034bdb50ee9c",15008,2008-12-30 21:15:18,42.350376,-71.07959
"f7ca5c5f4f9df3e7d5e42abea2ff034bdb50ee9c",19632,2008-08-12 23:41:05,42.350376,-71.07959
"f7ca5c5f4f9df3e7d5e42abea2ff034bdb50ee9c",19632,2008-08-12 23:30:09,42.350376,-71.07959
"f7ca5c5f4f9df3e7d5e42abea2ff034bdb50ee9c",19632,2008-08-12 22:54:18,42.350376,-71.07959
"821168d7557c3f55b3e8df8315470bc8134859b1",970,2009-06-22 01:45:34,34.172775,-97.162586
"821168d7557c3f55b3e8df8315470bc8134859b1",970,2008-07-21 00:40:16,34.172775,-97.162586
"821168d7557c3f55b3e8df8315470bc8134859b1",970,2008-07-21 00:36:51,34.172775,-97.162586
"d2c36908a5f011dd81d0003048c10834",260,2008-10-29 20:36:18,52.664383,-1.151375
"837d2a44816611deb968003048c0801e",6191,2009-08-06 03:08:39,-25.244685,130.987224
"407337546d9b3e10f178597d40ca2b09f2252daf",7506,2008-06-23 20:29:19,28.596279,-81.301206
"407337546d9b3e10f178597d40ca2b09f2252daf",7506,2008-05-23 00:26:41,28.596279,-81.301206
"407337546d9b3e10f178597d40ca2b09f2252daf",7506,2008-05-20 22:46:44,28.596279,-81.301206
"407337546d9b3e10f178597d40ca2b09f2252daf",7506,2008-05-20 22:41:50,28.596279,-81.301206
