"","artname","count","genre","nchar"
"98","スガシカオ",2,"japanese, j-pop, funk, anime, jpop",5
"99","テイマーズ",1,"digimon",5
"100","ナイトメア",4,"j-rock, visual+kei, japanese, rock, jrock",5
"101","ดาจิม",1,"",5
"102","ムラマサ☆",2,"ska, japanese, j-ska, j-pop, female+vocalists",5
"103","ウッチーズ",1,"video+game+music, fm+synth, ym2612",5
"104","マキシマム ザ ホルモン",6,"japanese, j-rock, hardcore, punk, rock",12
"105","베이비복스 리브",1,"korean",8
"106","ฟิล์ม รัฐภูมิ โตคงทรัพย์",1,"",24
"107","สุรพล สมบัติเจริญ",1,"blues, classic, oldies, thai",17
"108","อัสนี-วสันต์",1,"nice+guitar+solo",12
"109","デラクション",1,"",6
"110","スネオヘアー",1,"japanese, j-pop, j-rock, rock, pop",6
"111","コタニキンヤ",3,"japanese, j-pop, anime, j-rock, jpop",6
"112","タイナカサチ",1,"j-pop, japanese, female+vocalists, pop, anime",6
"113","しゃるろっと",1,"oshare+kei, j-rock, visual+kei, japanese",6
"114","キーヤキッス",1,"eurobeat, japanese, j-pop, female+vocalists, para+para",6
"115","ともさかりえ",1,"japanese, j-pop, pop, female+vocalists, jpop",6
"116","エクリップス",1,"anime, j-pop, jpop, character+song",6
"117","シュノーケル",1,"japanese, j-rock, rock, indie",6
"118","ゴスペラーズ",1,"japanese, j-pop, pop, a+cappella, rnb",6
"119","やなわらばー",1,"j-pop, okinawa, female+vocalists, japanese, folk",6
"120","アツミサオリ",1,"j-pop, japanese, anime, female+vocalists",6
"121","シートベルツ",10,"jazz, blues, soundtrack, japanese, funk",6
"122","しばたはつみ",1,"female+vocalists, j-pop, 70s, psychedelic, pop",6
"123","เบิร์ด ธงไชย",1,"thai, asian, male+vocalists, asian+music, thailand",12
"124","อาภาพร นครสวรรค์",1,"",16
"125","はっぴいえんど",14,"japanese, rock, folk+rock, folk, 70s",7
"126","フルーツポンチ",1,"japanese, christmas, j-pop, female+vocalists, japanese+female+vocal",7
"127","タニウチヒデキ",3,"soundtrack, japanese, instrumental, anime, post-rock",7
"128","オレスカバンド",2,"ska, japanese, j-ska, female+vocalists, j-rock",7
"129","カヒミ・カリィ",4,"shibuya-kei, j-pop, japanese, female+vocalists, pop",7
"130","ストレイテナー",2,"j-rock, japanese, rock, alternative, alternative+rock",7
"131","キャンディーズ",1,"japanese, j-pop, female+vocalists, 70%27s, pop",7
"132","เสนาหอย",1,"",7
"133","いきものがかり",5,"j-pop, japanese, female+vocalists, j-rock, rock",7
"134","イ・ビョンホン",1,"mjk, boysinging",7
"135","サンボマスター",2,"j-rock, japanese, rock, j-pop, anime",7
"136","ドーリスマリィ",1,"visual+kei, j-rock, rock, japanese",7
"137","ステレオポニー",1,"j-rock, japanese, j-pop, female+vocalists, rock",7
"138","さいとうみわこ",1,"j-pop, pop, female+vocalists, tokyo+1+dosen",7
"139","いきものがかり",1,"j-pop, japanese, female+vocalists, j-rock, rock",8
"140","フィッシュマンズ",2,"dub, reggae, dream+pop, electronic",8
"141","허밍어반스테레오",1,"electronica, k-pop",8
"142","アンジェラ・アキ",1,"j-pop, japanese, female+vocalists, piano, pop",8
"143","ザ・マスミサイル",1,"j-rock, japanese, anime, rock, naruto",8
"144","โจอี้บอย",1,"",8
"145","フジファブリック",3,"j-rock, japanese, rock, alternative, j-pop",8
"146","ナイトセーバーズ",1,"anime, female+vocalists, 10+of+10+stars, cyberpunk, bubblegum+crisis",8
"147","Ｏｒｉｇｉｎａｌ",1,"",8
"148","ปาล์มมี่",1,"female+vocalists, thai, thai+artists",8
"149","イオンチャンネル",1,"",8
"150","イズタニタカヒロ",1,"composer, japanese, soundtrack, japan, game",8
"151","チャットモンチー",1,"j-rock, japanese, rock, j-pop, female+vocalists",8
"152","デジモンシンカーズ",1,"",9
"153","サカノウエヨースケ",1,"j-pop, anime, japanese, da+family, rock",9
"154","アーマーシンカーズ",1,"",9
"155","ロードオブメジャー",1,"j-rock, japanese, jrock, band",9
"156","ポルノグラフィティ",7,"j-rock, japanese, j-pop, anime, rock",9
"157","アナログフィッシュ",2,"j-rock, japanese, rock, indie, male+vocalists",9
"158","エクセル・ガールズ",1,"anime, opening, tva+oped",9
"159","อัมรินทร์ นิติพน",1,"",16
"160","ジョグレスシンカーズ",1,"",10
"161","᛬ᚻᛖᛚᚱᚢᚾᚨᚱ᛬",2,"german, black+metal, viking+metal, germany, melodic+black+metal",10
"162","サザンオールスターズ",2,"j-pop, japanese, southern+all+stars, japanese+music, j-rock",10
"163","エレファントカシマシ",1,"japanese, rock, j-rock, punk, jrock",10
"164","キャプテンストライダム",2,"rock, japanese, j-rock, male+vocalists",11
"165","アクション・スペクタキュラー",1,"",14
"166","Ｓｈａｂａｚｚ　Ｔｈｅ　Ｄｉｓｃｉｐｌｅ",1,"",20
"167","01 Ain'T My Bitch",1,"",17
"168","01 Primo Chakra",1,"",15
"169","01-Prostitute_(Single_Version)-Cmg",1,"",34
"170","01. Rock N' Roll (Original Mi",1,"",29
"171","01 - Sasa Miranovic 2005 -",1,"",26
"172","01 The Show Is Under Control",1,"",28
"173","01.Vsi",1,"",6
"174","01 Zapis 1",1,"",10
"175","01-Zro-Freestyle_(Hold_It_Down",1,"",30
"176","02",1,"",2
"177","02_",1,"",3
"178","02 2 X 4",1,"",8
"179","02 Boys & Digimon",1,"",17
"180","02(By H P Lovecraft)",1,"",20
"181","02 Cast",1,"",7
"182","02.Evanescence",1,"",14
"183","02 Faixa 2",1,"",10
"184","02 Girls & Digimon",1,"",18
"185","02 Hoikam",1,"",9
"186","½²¨Ìªl",1,"",6
"187","02. Incident On 57Th Street (",1,"",29
"188","02 - Nosferatu",1,"",14
"189","02 The Byrds - The Byrds Play Dylan",1,"",35
"190","02 Virgin Forest",1,"",16
"191","02.Vsi",1,"",6
"192","02 We Are One (Part 2",1,"",21
"193","02 Ybrid",1,"",8
"194","03_",1,"",3
"195","03 A Way Of Life (Promo Remix",1,"",29
"196","03 Celsius",1,"",10
"197","03. Claire",1,"",10
"198","03 - D'Spyre",1,"",12
"199","03 Hardcoholics Darkness Meet",1,"",29
"200","03 Headache 101",1,"",15
"201","03. Mid Life Crisis",1,"",19
"202","03 Secondo Chakra",1,"",17
"203","03 - Syphax",1,"",11
"204","03. The Drugs Not Working (Or",1,"",29
"205","03_Tieum_",1,"",9
"206","03_Va_",1,"",6
"207","03.Vsi",1,"",6
"208","03.What",1,"",7
"209","04_",1,"",3
"210","04. Andoni",1,"",10
"211","04 D",1,"",4
"212","(04) Digital Boy",1,"",16
"213","04 Faixa 4",1,"",10
"214","04 Far Beyond The Triumphants",1,"",29
"215","04  La Balada De Bonny And Cl",1,"",29
"216","04_Micropoint_",1,"",14
"217","04 Pulsion Cardiak",1,"",18
"218","04 Rv",1,"",5
"219","05_",1,"",3
"220","05 10 King & Queen",1,"",18
"221","055",1,"",3
"222","05  Azwethinkweiz",1,"",17
"223","05 Cranky Sunday",1,"",16
"224","05-Mogwai-Boring_Machines_Disturbs_Sleep-Fnt",1,"",44
"225","05 - Nosferatu",1,"",14
"226","05 Terzo Chakra",1,"",15
"227","06 Dancing On Your Grave",1,"",24
"228","06 K-Tronic",1,"",11
"229","06-Mogwai-Ratts_Of_The_Capital-Fnt",1,"",34
"230","06 The Missing Chromosome",1,"",25
"231","06Ub40",1,"",6
"232","06. When The Music Don'T Come",1,"",29
"233","07_",1,"",3
"234","07 1St Experiment",1,"",17
"235","076 - Sunni & Shia",1,"",18
"236","07 Back And Forth",1,"",17
"237","07 Dj D & Dj Paul",1,"",17
"238","07_Geoff_Da_Chef_",1,"",17
"239","07-Le Monastere Dans Lesmontagnes",1,"",33
"240","07-Mogwai-Golden_Porsche-Fnt",1,"",28
"241","07 Quarto Chakra",1,"",16
"242","07. Tiësto Pres. 'Alone In Th",1,"",29
"243","08_",1,"",3
"244","08 Breakfast Biscuit",1,"",20
"245","(08) Digital Boy",1,"",16
"246","08 Enilec 2",1,"",11
"247","08  En Una Hora",1,"",15
"248","08 High Powered",1,"",15
"249","08 Soundwaves Are Reversing",1,"",27
"250","08 - Syphax",1,"",11
"251","09_",1,"",3
"252","095 Aerosmith",1,"",13
"253","09. All That Dub   Blend",1,"",24
"254","09 Backwards Rain (Str82Lleh",1,"",28
"255","09. Dre",1,"",7
"256","09 - D'Spyre",1,"",12
"257","09 E",1,"",4
"258","09 Enthropy Hardcore Brigade",1,"",28
"259","09 Silk Ties",1,"",12
"260","09_Va_",1,"",6
"261","09.Vatrogasci",1,"",13
"262","¬¼Ãè",1,"",4
"263","0-Essential Songs",1,"",17
"264","0_Replay Radio",1,"",14
"265","0-Top 500 Songs",1,"",15
"266","10_",1,"",3
"267","10.",1,"",3
"268","100°C",1,"czech, alternative+rock, ska, reggae, alternative",5
"269","100% Drum & Bass",1,"",16
"270","100 Kids Songs",1,"",14
"271","100% Musica Electronica",1,"",23
"272","100% Pure Poison",1,"",16
"273","100 Кила",1,"",8
"274","1016",1,"",4
"275","101 Dalmatiner",1,"",14
"276","101 Digital Sound Effects: Sou",1,"",30
"277","101 Digital Sound Effects: Sousound Effects",1,"",43
"278","10 Cardiak #",1,"",12
"279","10 . Daisy (Mandragore)",1,"",23
"280","10 - Ophidian",1,"",13
"281","10. Skip Town   Aesop Rock",1,"",26
"282","10. The Enticer",1,"",15
"283","10_Va_",1,"",6
"284","11_",1,"",3
"285","1, 12, 75, 6, 7",1,"",15
"286","112/Faith Evans/P. Diddy",1,"",24
"287","112 (Featuring The Notorious Big & Mase)",1,"",40
"288","113_Scott_B_Feat_Neophyte_",1,"",26
"289","11Cc",1,"",4
"290","11 Close Down",1,"",13
"291","11  Ella Usa Mi Anillo",1,"",22
"292","11Hzrobot Feat. Lilidela Mora",1,"",29
"293","11 Jda",1,"",6
"294","11_Kirac&Funda Arar",1,"",19
"295","11 Macron (Suburban Trash Mix",1,"",29
"296","11 Minced Meat",1,"",14
"297","11 Ne Gledaj Me Tako I Ne Lju",1,"",29
"298","11. Nukom",1,"",9
"299","11 - Philtronic - Groove Cut (Extended Mix)",1,"",43
"300","12_",1,"",3
"301","1,2,3,4 (Feist Cover)",1,"",21
"302","12"" 80'S Dance",1,"",14
"303","12 Blof Speelt Doemaar",1,"",22
"304","12 Inches",1,"",9
"305","12. Les 409",1,"",11
"306","12 Monkeys Ost",1,"",14
"307","12 O'Clock/Melodie",1,"",18
"308","12. Pacid K",1,"",11
"309","12. Streets Of Philadelphia (",1,"",29
"310","13_",1,"",3
"311","130 Bpm Boney M Feat. Moby T",1,"",28
"312","130 Bpm Oil",1,"",11
"313","13. Digital Boy",1,"",15
"314","13. Ex Dream",1,"",12
"315","13. Ivana",1,"",9
"316","13_Ron_D_Core_",1,"",14
"317","13 Witness Furious Speed",1,"",24
"318","140 Udarow W Minutu",1,"",19
"319","- 14 - Dj Tiësto Ft. Bt -",1,"",25
"320","14. Funkerman Feat. I",1,"",21
"321","14Th Precinct",2,"",13
"322","15 05 2006 Musica Discoteca Verano 2006",1,"",39
"323","152",2,"",3
"324","152 Og Langbein",1,"",15
"325","154Tay",1,"",6
"326","158&Lt; B&Gt;;L:&Gt; + C;038=",1,"",30
"327","15 Back From Hell",1,"",17
"328","15. Unmei",1,"",9
"329","15 - Wedlock",1,"",12
"330","1.5Кг Отличного Пюре",1,"",20
"331","16.",1,"",3
"332","16. Assassins Of Terror",1,"",23
"333","16 Brotherhood Of Posers",1,"",24
"334","16 Day",1,"",6
"335","16. Freemasons Feat. Hazel Fe",1,"",29
"336","16Hz",2,"lithuanian, electronic, dubstep, ireland, deaf",4
"337","16 Mcs",1,"",6
"338","16 Oisin",1,"",8
"339","16 Pista 16",1,"",11
"340","16 Significant Damage",1,"",21
"341","17",2,"rock, swedish, hard+rock, russian, hair+metal",2
"342","17. Artist",1,"",10
"343","17 Eating Steel",1,"",15
"344","17.New York",1,"",11
"345","17 Radium",1,"",9
"346","17 Talking About Your Mom",1,"",25
"347","17 Оборотов",1,"",11
"348","1800S Sea Monster",1,"",17
"349","1896 R. Strauss - Also Sprach Zarathustra - Fanfare",1,"",51
"350","18. Aftermath",1,"",13
"351","18 We Are Depravated People",1,"",27
"352","18 Why Must We Die",1,"",18
"353","1945",1,"progressive+metal, experimental, progressive+death+metal, mathcore, technical+death+metal",4
"354","1954.",1,"",5
"355","1986 Chicago Bears",1,"",18
"356","1995 - And The Circus Leaves Town",1,"",33
"357","1998 Omagh Tribute",1,"",18
"358","1999少女隊",1,"anison, anime, jubei-chan",7
"359","1. Allegro",1,"",10
"360","1. Allegro Moderato",1,"",19
"361","1Korruptibles",1,"",13
"362","1Nc",1,"hangin%27+out, 1nc, contemporary+gospel, gospel, god",3
"363","1-Ski",2,"acid+jazz, electronic, metro+downtempo, nu-jazz, jazz",5
"364","1Up.Com Staff",1,"",13
"365","1Young Jeezy Ft Akon",1,"",20
"366","??????-2",1,"electronic, metal, hip-hop, rap, hip+hop, rock, pop, alternative, female+vocalists, rnb, k-pop, bts, kpop, indie+pop, indie, country, christmas, jazz, swing, trap, classic+rock, 60s, soul, kanye+west, gospel, xmas, christmas+music, 50s, disco, brega, 2019, 80s, introspective",8
"367","2000 Broadway Revival Cast",1,"",26
"368","2001: A Space Odyssey",1,"",21
"369","2004 Movie Soundtrack",1,"",21
"370","©2005 Paul Houseman",1,"",19
"371","2006",1,"",4
"372","2008 Sxsw Podcasts",1,"",18
"373","201_Jajauma_Ni_Sasenaide_",1,"",25
"374","20,20",1,"",5
"375","202 Feat. Gustavo Cerati",1,"",24
"376","20 Fingers Feat. Gillette",1,"",25
"377","20. Jacky Lucifer",1,"",17
"378","21. Farewell Ruffia",1,"",19
"379","21 Hertz",3,"",8
"380","21St Century ! - Artful Dodger",1,"",30
"381","22Cats",1,"indie, chinese, homosexual+lions, indie+rock, hong+kong",6
"382","22 What Are You Doing New Year'S Eve",1,"",36
"383","23 Not Venial Sin",1,"",17
"384","24 Carat Black",1,"",14
"385","24_Endorphin_",1,"",13
"386","24 Heures De Nos Vies",1,"",21
"387","2/5 Bz",1,"",6
"388","27 Beats Entertainment",1,"",22
"389","27 Paralyzing",1,"",13
"390","28",1,"trance, psychedelic, electronic, techno, goa+trance",2
"391","28 Blood On My Hands (Speedco",1,"",29
"392","2 Am/Fm",1,"",7
"393","2-Bit",1,"bass, synthesiser",5
"394","2 Dope",1,"",6
"395","2H+",1,"",3
"396","+2H-2N",1,"",6
"397","2 Homos",1,"",7
"398","2Homos@2Homos.Com",1,"",17
"399","2, Jo & Ndoe",1,"",12
"400","2 Krazie Devils",1,"",15
"401","2 Many Dj'S/Basement Jaxx",1,"",25
"402","2 Many Dj'S - Chemical Brothers & Weezer",1,"",40
"403","2 Many Dj'S - Coldcut",1,"",21
"404","2 Many Dj'S - Dmx Krew",1,"",22
"405","2 Many Dj'S - Fischerspooner & Guns'N'Roses",1,"",43
"406","2Many Dj'S @ I Love Techno 2006 Pt.1",1,"",36
"407","2 Many Dj'S @ I Love Techno Pt.2",1,"",32
"408","2 Many Dj'S - Peaches",1,"",21
"409","2 Many Dj'S - Portishead",1,"",24
"410","2 Many Dj'S - The Doors",1,"",23
"411","2 Many Dj'S - The Shangri-Las",1,"",29
"412","2 Many Dj'S - Tok Tok Vs. Soffy O & Lexy & K-Paul",1,"",49
"413","2Ndpriority",2,"",11
"414","2 Of Us",1,"",7
"415","2-One-One",1,"bay+area+rap, gangsta+rap, bay+area, rap, california",9
"416","2Pac & Bad Azz",1,"",14
"417","2Pac & Big Syke",1,"",15
"418","2Pac/Big Syke/Cpo/Danny Ray",1,"",27
"419","2Pac/Danny Ray",1,"",14
"420","2Pac/Dat Nigga Daz/Kurupt/Method Man/Redman",1,"",43
"421","2Pac/Dramarydal/Jewell/Outlawz/Storm",1,"",36
"422","2Pac & Dr Dre",1,"",13
"423","2 Pac Elton John",1,"",16
"424","2Pac Ft. Keyshia Cole",1,"",21
"425","2Pac/Johnny P./Scarface",1,"",23
"426","2Pac (Makaveli)",1,"",15
"427","2Pac M/ Bad Azz",1,"",15
"428","2Pac M/ Danny Boy, Aaron Hall, Kci & Jojo",1,"",41
"429","2Pac M/ E.D.I & Young Noble",1,"",27
"430","2Pac M/ Kastro & Young Noble",1,"",28
"431","2Pac M/ Prince Ital",1,"",19
"432","2Pac M/ Val Young",1,"",17
"433","2Pac/Outlaw Immortalz",1,"",21
"434","2Pac/Rappin' 4-Tay",1,"",18
"435","2Pac/Richie Rich",1,"",16
"436","2Pac, Snoop Dogg, Daz Dillinger & Kurupt",1,"",40
"437","2Pac Vs. Fabolous",1,"",17
"438","2Paq",1,"chiptune, demoscene, 8-bit, all, hear+soon",4
"439","2 Play Feat Thomas Jules And J",1,"",30
"440","2P-Trip",1,"comedy, parody, moldova, balti",7
"441","2 Quick Start",1,"",13
"442","2 Quick Start Feat. Kuldne Trio, Nancy & Must Q",1,"",47
"443","2Spaced Out",1,"",11
"444","2 Tough Mc'S",1,"",12
"445","2 Tribes (Ray Kang & Barrett Atwood)",1,"",36
"446","2 Tru [Ii Tru]",1,"",14
"447","2 Tyme Feat. Jennifer Jones",1,"",27
"448","2 Wild",1,"",6
"449","[ 2 Witchdrums",1,"",14
"450","300 Original Sountrack Ost (The Movie By Frank Miller)",1,"",54
"451","303Didthistome",1,"",14
"452","30Kb",1,"rap, hip-hop, uk+hip-hop, need+to+rate, from+the+off",4
"453","3-2/Double D/Pimp Tyte",1,"",22
"454","32 Mujer Fatal",1,"",14
"455","3/3",1,"progressive+rock, alternative+rock, rock, industrial+black+metal, experimental",3
"456","33 1/3 Queen",1,"",12
"457","33A",1,"georgian, folk+rock, folk, georgian+music, galaktioni",3
"458","3/4Hadbeeneliminated",1,"",20
"459","35",1,"38, 30, 31, 29, 26",2
"460","3 6 Mafia Feat. Project Pat",1,"",27
"461","39 I Pół",1,"",8
"462","3. Allegro",1,"",10
"463","3. Children‚S Christmas Song - The Supremes",1,"",43
"464","3Gga Feat. G-Solo & Jiff",1,"",24
"465","3 Hur-El",1,"",8
"466","3 Hürel",1,"",7
"467","3M Company",1,"",10
"468","3Rd Dimension",1,"",13
"469","3Rdst4R",1,"nu+tekno, nirvana, pixies, ice+cream+cone+cereal, the+doors",7
"470","3Visemenn",1,"",9
"471","3Xkraxy, Askari-X",1,"",17
"472","3 Zhelenja & Dj Vital",1,"",21
"473","400 Blows Vs. 23 Skidoo",1,"",23
"474","408",1,"r+and+b, rb",3
"475","40 Cal & A-Mafia",1,"",16
"476","40 Cal & Jay Bezel",1,"",18
"477","40 Cal M/ Akon",1,"",14
"478","40 Cal M/ A-Mafia",1,"",17
"479","40 Cal M/ A-Mafia, Jr Writer & Hell Rell",1,"",40
"480","40 Cal M/ Chubby Baby",1,"",21
"481","40 Cal M/ Freeky Zeeky",1,"",22
"482","40 Cal M/ Jay Bezel",1,"",19
"483","40 Cal M/ Jay Bezel & Peedi Crakk",1,"",33
"484","40 Cal M/ Jr Writer",1,"",19
"485","40 Cal M/ Jr Writer & Chubby Baby",1,"",33
"486","40 Cal M/ Rod Man",1,"",17
"487","40 Cal M/ Su Da Boss",1,"",20
"488","40 Cal M/ Young Ace",1,"",19
"489","40 Cal & Su Da Boss",1,"",19
"490","40 Ounce Records",1,"",16
"491","42",1,"chillout, downtempo, denmark, lounge, rap",2
"492","434",1,"",3
"493","43 Folders",2,"",10
"494","43 Songs About 43 Presidencies",1,"",30
"495","442",1,"noise, experimental, drone, football, england",3
"496","48 Cameras",1,"",10
"497","49 Morphines",1,"",12
"498","4 Audio Trackx",1,"",14
"499","4Chill",1,"",6
"500","4 Clubbers (Feat. Silvy)",1,"",24
"501","4 Dead",1,"",6
"502","4Ehov",1,"soundtrack, beautiful, rock, pop, electronic",5
"503","[ 4 Etiainen",1,"",12
"504","4:Fifteen",1,"",9
"505","4 Hero Aka Tek 9",1,"",16
"506","4Hero & Carina Andersson",1,"",24
"507","4Hero Feat. Ursula Rucker",1,"",25
"508","4Hm",1,"",3
"509","4Play",1,"",5
"510","4° Potere",1,"",9
"511","4 Trey",1,"",6
"512","4Tune8",1,"synthrock, alternative, rock, elektronic+beats, german",6
"513","ピチカート5",1,"",6
"514","50 Cent & Brooklyn",1,"",18
"515","50 Cent; Dr. Dre; Eminem",1,"",24
"516","50 Cent, Eminem, Lloyd Banks &",1,"",30
"517","50 Cent; Eminem; Nate Dogg",1,"",26
"518","50 Cent; Eminem; Obie Trice; Stat Quo",1,"",37
"519","50 Cent Feat. Erick Sermon And",1,"",30
"520","50 Cent Feat Lloyd Banks, Tony Yayo",1,"",35
"521","50 Cent F. Justin Timberlake And Timbaland",2,"",42
"522","50 Cent F. Justin Timberlake & Timberland",1,"",41
"523","50 Cent Ft. Justin Timberlake & Timbaland",1,"",41
"524","50 Cent Ft. Mase, Lloyd Banks, M.O.P., Young Buck, Tony Yayo & Mobbdeep",1,"",71
"525","50 Cent  Ft. Mobb Deep",1,"",22
"526","50 Cent Ft. P Diddy, Jay-Z",1,"",26
"527","50 Cent Ft. Robin Thicke",1,"",24
"528","50 Cent, Lil Boosie & Beyonce",1,"",29
"529","50 Cent M/ Big Pun, Jadakiss & J. Dirty",1,"",39
"530","50 Cent M/ Brooklyn",1,"",19
"531","50 Cent M/ Eminem & Lloyd Banks",1,"",31
"532","50 Cent M/ Nate Dogg",1,"",20
"533","50 Cent M/ Young Buck",1,"",21
"534","50 Cent Vs. Bee Gees",1,"",20
